Signal,Model,Patch Length,Horizon,d_model,Heads,FFN Dim,Layers,RMSE,MAE
Sine,Minimal,4,4,8,2,32,2,0.07039825,0.055711467
Sine,Standard,4,4,8,2,32,2,0.110698,0.08470062
Sine,Full,4,4,8,2,32,2,0.07744076,0.06306248
Sine,Minimal,4,8,8,2,32,2,0.0743819,0.056047972
Sine,Standard,4,8,8,2,32,2,0.089586124,0.067588605
Sine,Full,4,8,8,2,32,2,0.09753173,0.076155834
Sine,Minimal,8,4,8,2,32,2,0.055104397,0.04307722
Sine,Standard,8,4,8,2,32,2,0.048255894,0.038543645
Sine,Full,8,4,8,2,32,2,0.051340137,0.040408812
Sine,Minimal,8,8,8,2,32,2,0.04884189,0.03966155
Sine,Standard,8,8,8,2,32,2,0.07915871,0.06661009
Sine,Full,8,8,8,2,32,2,0.079938054,0.061126523
Sine,Minimal,12,4,8,2,32,2,0.044968616,0.03616605
Sine,Standard,12,4,8,2,32,2,0.044320248,0.034098886
Sine,Full,12,4,8,2,32,2,0.058236856,0.04661561
Sine,Minimal,12,8,8,2,32,2,0.041783296,0.03387993
Sine,Standard,12,8,8,2,32,2,0.049159333,0.039483387
Sine,Full,12,8,8,2,32,2,0.08401616,0.06504245
Cosine + Trend,Minimal,4,4,8,2,32,2,0.07873868,0.06965209
Cosine + Trend,Standard,4,4,8,2,32,2,0.075813964,0.06497886
Cosine + Trend,Full,4,4,8,2,32,2,0.118136,0.0992543
Cosine + Trend,Minimal,4,8,8,2,32,2,0.066072024,0.051015265
Cosine + Trend,Standard,4,8,8,2,32,2,0.104140244,0.09265768
Cosine + Trend,Full,4,8,8,2,32,2,0.08079407,0.06958608
Cosine + Trend,Minimal,8,4,8,2,32,2,0.0779876,0.066367164
Cosine + Trend,Standard,8,4,8,2,32,2,0.06037793,0.052210353
Cosine + Trend,Full,8,4,8,2,32,2,0.06799991,0.056631517
Cosine + Trend,Minimal,8,8,8,2,32,2,0.051801525,0.040989745
Cosine + Trend,Standard,8,8,8,2,32,2,0.080011986,0.06884775
Cosine + Trend,Full,8,8,8,2,32,2,0.069805875,0.057457574
Cosine + Trend,Minimal,12,4,8,2,32,2,0.060828306,0.050712887
Cosine + Trend,Standard,12,4,8,2,32,2,0.05830276,0.04616685
Cosine + Trend,Full,12,4,8,2,32,2,0.056747284,0.04713984
Cosine + Trend,Minimal,12,8,8,2,32,2,0.10349458,0.0936436
Cosine + Trend,Standard,12,8,8,2,32,2,0.08009489,0.06481152
Cosine + Trend,Full,12,8,8,2,32,2,0.1361034,0.12815104
Exp. Decay × Sine,Minimal,4,4,8,2,32,2,0.05787186,0.04616991
Exp. Decay × Sine,Standard,4,4,8,2,32,2,0.055660103,0.043954216
Exp. Decay × Sine,Full,4,4,8,2,32,2,0.05108564,0.04048341
Exp. Decay × Sine,Minimal,4,8,8,2,32,2,0.05955955,0.0462477
Exp. Decay × Sine,Standard,4,8,8,2,32,2,0.05831864,0.045686536
Exp. Decay × Sine,Full,4,8,8,2,32,2,0.055947516,0.044190064
Exp. Decay × Sine,Minimal,8,4,8,2,32,2,0.055578806,0.042702314
Exp. Decay × Sine,Standard,8,4,8,2,32,2,0.05127459,0.040036097
Exp. Decay × Sine,Full,8,4,8,2,32,2,0.04892442,0.03784251
Exp. Decay × Sine,Minimal,8,8,8,2,32,2,0.056881223,0.04455824
